X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,YY
53,31065,2,2,68,132,34,34,34.0,0.0,66,66,66.0,0.0,10355.0,17891.23296,31014,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,64.38113633,64.38113633,34,66,46.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,58.5,34.0,66.0,64,0,0,0,0,0,0,2,68,2,132,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
123,67042799,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,22300000.0,38600000.0,67000000,43166,67000000,67000000.0,0.0,67000000,67000000,67000000,67000000.0,0.0,67000000,67000000,0,0,0,0,64,64,0.02983169,0.02983169,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,64,0,0,0,0,0,0,2,96,2,96,-1,-1,1,32,43166.0,0.0,43166,43166,67000000.0,0.0,67000000,67000000,0
53,49637,2,2,180,294,90,90,90.0,0.0,147,147,147.0,0.0,16545.66667,28614.6425,49587,3,3,3.0,0.0,3,3,47,47.0,0.0,47,47,0,0,0,0,64,40,40.29252372,40.29252372,90,147,112.8,31.22018578,974.7,0,0,0,0,0,0,0,0,1,141.0,90.0,147.0,64,0,0,0,0,0,0,2,180,2,294,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,48242,1,1,44,92,44,44,44.0,0.0,92,92,92.0,0.0,48242.0,0.0,48242,48242,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20.7288255,20.7288255,44,92,60.0,27.71281292,768.0,0,0,0,0,0,0,0,0,1,90.0,44.0,92.0,20,0,0,0,0,0,0,1,44,1,92,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,90102413,3,3,18,0,6,6,6.0,0.0,0,0,0.0,0.0,18020482.6,24627207.326457694,45000562,34973,90067231,45033615.5,2714.5829329752,45035535,45031696,90067440,45033720.0,3715.1390283540995,45036347,45031093,0,0,0,0,60,96,0.033295445699999995,0.033295445699999995,0,6,3.4285714286,3.2071349029,10.285714285700001,0,0,0,0,1,0,0,0,1,4.0,6.0,0.0,60,0,0,0,0,0,0,3,18,3,0,251,66,2,20,35379.0,574.1707063235,35785,34973,44998236.5,3288.7536392986,45000562,44995911,0
53,23369987,2,2,97,125,56,41,48.5,10.60660172,69,56,62.5,9.192388155,7789995.667,12800000.0,22600000,30126,22600000,22600000.0,0.0,22600000,22600000,23300000,23300000.0,0.0,23300000,23300000,0,0,0,0,64,52,0.085579851,0.085579851,41,69,52.6,11.8448301,140.3,0,0,0,0,0,0,0,0,1,65.75,48.5,62.5,64,0,0,0,0,0,0,2,97,2,125,-1,-1,1,32,30126.0,0.0,30126,30126,22600000.0,0.0,22600000,22600000,0
53,168,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,56.0,59.01694672,119,2,47,47.0,0.0,47,47,2,2.0,0.0,2,2,0,0,0,0,40,40,11904.7619,11904.7619,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,40,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,47877,1,1,44,60,44,44,44.0,0.0,60,60,60.0,0.0,47877.0,0.0,47877,47877,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,40,20.8868559,20.8868559,44,60,49.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,74.0,44.0,60.0,20,0,0,0,0,0,0,1,44,1,60,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,115778687,16,14,523,801,439,0,32.6875,108.3603363782,795,0,57.214285714300004,212.355354779,3992368.51724138,4876261.28743639,10015782,115,115778687,7718579.13333333,4119287.87530407,10030772,526,110286692,8483591.69230769,3761460.3546695,10030951,630,0,0,0,0,332,424,0.13819469210000002,0.1209203556,0,795,42.7096774194,160.0768968441,25624.6129032258,0,0,0,1,0,0,0,0,0,44.1333333333,32.6875,57.214285714300004,332,0,0,0,0,0,0,16,523,14,801,8192,946,15,20,35469.9090909091,67599.8843718753,239291,14969,9990599.54545455,62854.5377922128,10015782,9802491,0
3260,3,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,48,0,666666.6667,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,0
443,268391,44,107,871,165422,389,0,19.79545455,72.13410623,2896,0,1546.0,572.4010502,1789.273333,6878.103145,68907,1,268391,6241.651163,12258.37258,68907,1,241167,2275.160377,9776.895544,91375,1,0,0,0,0,1420,3432,163.93992350000005,398.67208660000006,0,2896,1094.0328949999996,848.7760523000002,720420.787,0,0,0,1,0,0,0,0,2,1101.278146,19.79545455,1546.0,1420,0,0,0,0,0,0,44,871,107,165422,65535,122,6,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,255885,7,5,376,3508,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,23262.27273,42753.28785,143403,37,255885,42647.5,52191.0442,143403,1386,187518,46879.5,91386.1058,183940,48,0,0,0,0,152,112,27.35603885,19.54002775,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,152,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,48,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,40,0,41666.66667,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,30788,1,1,56,126,56,56,56.0,0.0,126,126,126.0,0.0,30788.0,0.0,30788,30788,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.4801870859,32.4801870859,56,126,79.3333333333,40.4145188433,1633.3333333332998,0,0,0,0,0,0,0,0,1,119.0,56.0,126.0,32,0,0,0,0,0,0,1,56,1,126,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,23962,2,2,68,196,34,34,34.0,0.0,98,98,98.0,0.0,7987.333333,13828.40498,23955,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,83.46548702,83.46548702,34,98,59.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,74.5,34.0,98.0,40,0,0,0,0,0,0,2,68,2,196,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,30709,1,1,95,223,95,95,95.0,0.0,223,223,223.0,0.0,30709.0,0.0,30709,30709,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.56374353,32.56374353,95,223,137.66666669999998,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,206.5,95.0,223.0,32,0,0,0,0,0,0,1,95,1,223,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
